ECO,ECO_move
C36,1. e4 e5 2. f4
C37,1. e4 e5 2. f4
C38,1. e4 e5 2. f4
C39,1. e4 e5 2. f4
C40,1. e4 e5 2. Nf3
C41,1. e4 e5 2. Nf3 d6
C42,1. e4 e5 2. Nf3 Nf6
C43,1. e4 e5 2. Nf3 Nf6
C44,1. e4 e5 2. Nf3 Nc6
C45,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4
C46,1. e4 e5 2. Nf3 Nc6 3. Nc3
C47,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4
C48,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4
C49,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4
C50,1. e4 e5 2. Nf3 Nc6 3. Bc4
C51,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4
C52,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4
C53,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3
C54,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3
C55,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
C56,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
C57,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
C58,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
C59,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6
C60,1. e4 e5 2. Nf3 Nc6 3. Bb5
C61,1. e4 e5 2. Nf3 Nc6 3. Bb5
C62,1. e4 e5 2. Nf3 Nc6 3. Bb5
C63,1. e4 e5 2. Nf3 Nc6 3. Bb5
C64,1. e4 e5 2. Nf3 Nc6 3. Bb5
C65,1. e4 e5 2. Nf3 Nc6 3. Bb5
C66,1. e4 e5 2. Nf3 Nc6 3. Bb5
C67,1. e4 e5 2. Nf3 Nc6 3. Bb5
C68,1. e4 e5 2. Nf3 Nc6 3. Bb5
C69,1. e4 e5 2. Nf3 Nc6 3. Bb5
C70,1. e4 e5 2. Nf3 Nc6 3. Bb5
C71,1. e4 e5 2. Nf3 Nc6 3. Bb5
C72,1. e4 e5 2. Nf3 Nc6 3. Bb5
C73,1. e4 e5 2. Nf3 Nc6 3. Bb5
C74,1. e4 e5 2. Nf3 Nc6 3. Bb5
C75,1. e4 e5 2. Nf3 Nc6 3. Bb5
C76,1. e4 e5 2. Nf3 Nc6 3. Bb5
C77,1. e4 e5 2. Nf3 Nc6 3. Bb5
C78,1. e4 e5 2. Nf3 Nc6 3. Bb5
C79,1. e4 e5 2. Nf3 Nc6 3. Bb5
C80,1. e4 e5 2. Nf3 Nc6 3. Bb5
C81,1. e4 e5 2. Nf3 Nc6 3. Bb5
C82,1. e4 e5 2. Nf3 Nc6 3. Bb5
C83,1. e4 e5 2. Nf3 Nc6 3. Bb5
C84,1. e4 e5 2. Nf3 Nc6 3. Bb5
C85,1. e4 e5 2. Nf3 Nc6 3. Bb5
C86,1. e4 e5 2. Nf3 Nc6 3. Bb5
C87,1. e4 e5 2. Nf3 Nc6 3. Bb5
C88,1. e4 e5 2. Nf3 Nc6 3. Bb5
C89,1. e4 e5 2. Nf3 Nc6 3. Bb5
C90,1. e4 e5 2. Nf3 Nc6 3. Bb5
C91,1. e4 e5 2. Nf3 Nc6 3. Bb5
C92,1. e4 e5 2. Nf3 Nc6 3. Bb5
C93,1. e4 e5 2. Nf3 Nc6 3. Bb5
C94,1. e4 e5 2. Nf3 Nc6 3. Bb5
C95,1. e4 e5 2. Nf3 Nc6 3. Bb5
